anno,genere,codice,regione,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
2002,Maschi,11,Marche,6140,6437,6385,6377,6325,6209,6348,6199,6428,6668,6763,6788,6559,6520,6458,6815,6957,6935,7155,7443,7638,7928,8384,8919,9052,9570,10262,10603,10557,10868,11310,11127,11435,11275,11224,11440,11602,12050,11402,11075,11071,10688,10309,10040,9772,9947,9567,9338,9256,9419,9424,9691,9500,9592,9402,9395,7960,7600,8209,7750,7803,8955,9374,9307,8702,7999,8272,8199,7946,7277,7852,7925,7101,7074,6889,6449,6454,5736,5598,5233,4660,4488,2718,1788,1650,1970,2202,1893,1557,1411,1084,874,515,393,205,171,101,63,28,42,22
2002,Maschi,12,Lazio,23243,23697,23421,23200,23021,23521,23811,23789,24415,25605,25206,25752,25226,25315,24260,24796,25508,26228,27183,27999,28226,28537,29600,31239,32604,33887,36775,38369,39071,39662,40828,40815,41602,40797,41483,43282,43791,44168,41812,40258,39571,37758,36807,35648,35113,34854,34539,33711,32301,32117,31986,33118,33138,35179,35188,33919,27084,27426,28703,28106,28796,31639,31000,30113,27847,26577,27301,25980,25047,23724,23980,24161,21622,20147,19371,17867,16882,15750,14816,13373,12272,11344,6646,4737,4479,4961,5180,4365,3872,3044,2363,1881,1219,907,579,413,309,155,104,62,84
2002,Maschi,13,Abruzzo,5425,5594,5483,5452,5582,5638,5663,5910,6234,6402,6488,6523,6581,6586,6360,6730,6966,7144,7221,7478,7428,7576,7871,8144,8383,8676,8911,9285,9035,9243,9546,9391,9720,9575,9627,9992,10068,10291,9624,9229,9067,8927,8868,8559,8480,8563,8343,8334,7889,7909,7884,8372,8395,8452,8303,8090,6063,6721,6483,6341,6458,7480,7522,7122,7092,6807,6943,6651,6751,6104,6411,6772,5782,5743,5719,5331,5068,4673,4252,4079,3752,3608,2167,1477,1375,1665,1788,1445,1342,1105,780,709,417,295,199,170,126,66,34,21,28
2002,Maschi,14,Molise,1302,1334,1451,1432,1444,1427,1456,1524,1621,1708,1741,1706,1726,1764,1782,1788,1816,1858,1959,1908,2072,1949,2075,2080,2092,2262,2324,2401,2245,2258,2337,2279,2377,2331,2333,2394,2427,2522,2340,2297,2382,2338,2200,2058,2170,2205,2175,2154,2039,2077,1911,2124,2253,2182,2026,2005,1546,1496,1450,1401,1529,1803,1851,1697,1693,1699,1752,1788,1762,1670,1766,1730,1510,1443,1504,1383,1330,1217,1113,1055,1011,950,529,359,345,450,509,431,353,283,220,214,123,111,51,34,38,13,11,6,5
2002,Maschi,15,Campania,33532,33400,33853,33414,33224,34291,34395,35154,36572,38640,39432,39150,38735,38961,37789,38574,39899,40309,41084,43093,42120,42476,42109,42063,42453,43630,44876,45428,44489,44451,44670,43385,44382,43824,43945,44783,44938,46082,43321,42355,41693,39835,39601,37798,37218,35774,37170,36377,33900,33472,33928,34438,34473,35675,34309,35242,29632,25118,27141,26460,25237,27896,27747,25542,24422,23375,24126,22639,23131,22300,21695,21950,19665,18455,17484,15976,15204,13616,12249,11025,9858,8755,5433,3890,3819,3948,4141,3415,3168,2486,1798,1486,1001,722,410,306,214,117,77,52,68
2002,Maschi,16,Puglia,20861,20997,21437,21198,21199,21641,21855,22350,23389,24630,25046,25043,24751,25402,24852,25306,25428,26415,27295,28084,28694,29259,30121,30797,31075,31726,32361,32208,30953,30382,30972,30107,30350,30235,30550,31166,30916,31308,29073,28536,28385,27683,26980,25251,25884,25286,25224,24773,23990,23380,24296,25343,25256,26733,25291,24946,21878,19430,19768,20261,19336,21415,20965,19889,18986,18125,18178,17940,17359,16698,16893,17070,15148,14394,13958,12986,12086,10942,10426,9726,8340,8443,4663,3442,3307,3546,3963,3410,3065,2402,1788,1457,946,738,416,329,207,133,64,42,58
2002,Maschi,17,Basilicata,2791,2953,2909,2935,2893,2949,3016,3027,3236,3507,3431,3694,3605,3561,3660,3671,3893,3923,3959,3936,4084,4076,4083,4311,4187,4569,4447,4643,4539,4534,4521,4507,4675,4544,4553,4438,4616,4746,4471,4602,4466,4292,4171,4053,3779,4051,4037,3895,3747,3590,3549,3810,3945,3885,3529,3277,2580,2522,2582,2568,2625,3224,3251,3138,3195,3124,3121,3196,3241,2997,2816,3030,2661,2653,2566,2441,2178,2002,1940,1694,1487,1443,864,565,588,608,726,619,591,478,376,285,234,164,111,68,38,25,17,12,6
2002,Maschi,18,Calabria,9603,9959,9944,9935,9932,10454,10645,11093,11769,12106,12624,12873,13310,13382,13009,13418,13738,14135,14070,14522,14511,14684,14835,14842,14726,15303,15358,15169,15201,14935,14872,14561,14971,14573,14551,14817,14832,15273,14673,14558,14385,14312,14225,13180,13563,13292,13315,13337,12671,12093,12409,12724,12815,12848,12597,11569,9281,9404,9292,9361,9140,10509,10521,9806,9517,9479,9908,9576,9818,9347,9039,9145,8356,7554,7274,6993,6613,6281,5617,5051,4425,4231,2564,1881,1944,2059,2253,1879,1747,1402,915,902,647,472,287,190,146,85,57,33,56
2002,Maschi,19,Sicilia,25607,25624,26285,25842,26472,26996,27806,28679,29826,31807,32022,32376,32027,32250,31045,32144,32193,32762,32779,34419,34252,34809,34621,34714,34746,36232,36985,37599,36817,36847,37179,36234,37628,36399,36549,36694,36387,37462,35521,35531,34603,34532,33180,32021,31673,31417,31890,31457,29192,29399,29316,30414,30369,31611,31100,28662,24990,23871,23016,23134,23208,26364,25768,24653,22445,22695,23471,23291,23109,21544,21413,22800,19692,19161,17941,17820,16253,15795,13964,13120,11048,10334,6402,4753,4503,5272,5446,4754,4223,3367,2450,1944,1329,910,619,409,271,168,99,62,97
2002,Maschi,20,Sardegna,6684,6949,6963,6801,6837,7158,7431,7431,7685,7961,8698,8741,8815,8932,8846,9212,9763,10016,10246,10957,11170,11400,11237,12146,12414,12767,13189,13846,13646,13485,13294,12929,13407,12698,13249,13428,13454,13655,13019,12770,12754,12453,12132,11965,11720,11659,11488,11743,11230,11154,11029,11122,10776,11054,10534,10060,9471,9247,8880,9195,8715,9555,9215,8196,7609,7837,7055,7512,7475,6978,6564,6726,6021,5998,5292,5285,4559,4539,4165,3870,3121,3081,2263,1534,1572,1649,1739,1457,1332,1147,838,716,524,402,293,215,126,94,62,47,51
